feature_accum_x,failure_rate
0.0,0.0
200000000.0,7.786342754808066e-05
400000000.0,7.482229704451927e-05
600000000.0,2.1462681762086173e-05
800000000.0,1.72102228723862e-05
1000000000.0,1.5756716300323014e-05
1200000000.0,8.188935110878181e-06
1400000000.0,6.886198680604333e-06
1600000000.0,3.9396989676018854e-06
1800000000.0,3.801768202390932e-06
2000000000.0,5.518743492481631e-06
2200000000.0,5.402358669795233e-06
2400000000.0,5.29501156960028e-06
2600000000.0,5.0921596018610145e-06
2800000000.0,4.996535735223579e-06
3000000000.0,4.914624776589349e-06
3200000000.0,4.823019306546284e-06
3400000000.0,4.748450817920654e-06
3600000000.0,4.671056421690518e-06
3800000000.0,4.60608033311173e-06
4000000000.0,4.534030163391334e-06
4200000000.0,4.472031912419727e-06
4400000000.0,4.405570991370955e-06
4600000000.0,4.3437152955246705e-06
4800000000.0,4.283223896962766e-06
5000000000.0,4.226512915519051e-06
5200000000.0,4.1652898069804705e-06
5400000000.0,4.109071185549219e-06
5600000000.0,4.053977357185135e-06
5800000000.0,4.001189687066955e-06
6000000000.0,3.951881886154186e-06
6200000000.0,3.907415101638379e-06
6400000000.0,3.861565452890832e-06
6600000000.0,3.817857647359761e-06
6800000000.0,3.7759502178723275e-06
7000000000.0,3.73055448474825e-06
7200000000.0,3.686436616637626e-06
7400000000.0,3.6473676339890895e-06
7600000000.0,3.6071045531278406e-06
7800000000.0,3.56901523731572e-06
8000000000.0,3.5253306760174106e-06
8200000000.0,3.4731427658488188e-06
8400000000.0,3.4149156686575625e-06
8600000000.0,3.3453095414918743e-06
8800000000.0,3.2603060992719735e-06
9000000000.0,3.1262993681748978e-06
9200000000.0,3.055472095901084e-06
9400000000.0,3.0243398874139073e-06
9600000000.0,2.999136248760357e-06
9800000000.0,3.961203968334135e-06
10000000000.0,3.926368805785112e-06
10200000000.0,3.892618233413067e-06
10400000000.0,3.857715865724484e-06
10600000000.0,3.825042553598409e-06
10800000000.0,3.7934252353820357e-06
11000000000.0,3.7614418358845314e-06
11200000000.0,3.7304872202834053e-06
11400000000.0,3.6994767090195093e-06
11600000000.0,3.6683012005432753e-06
11800000000.0,3.6360892769000156e-06
12000000000.0,3.6069701090387063e-06
12200000000.0,3.5787650397600798e-06
12400000000.0,3.5509629767722636e-06
12600000000.0,3.5241638700957957e-06
12800000000.0,3.499124781414049e-06
13000000000.0,3.4727105721464304e-06
13200000000.0,3.4491619398776583e-06
13400000000.0,3.4246575342465754e-06
13600000000.0,3.401027960701122e-06
13800000000.0,3.378518198810593e-06
14000000000.0,3.3551445689855467e-06
14200000000.0,3.3335944648997506e-06
14400000000.0,4.139374391511964e-06
14600000000.0,4.111727139208279e-06
14800000000.0,4.0855881694440495e-06
15000000000.0,4.060590507313936e-06
15200000000.0,4.035151007456152e-06
15400000000.0,4.010990112909372e-06
15600000000.0,3.9854610381328915e-06
15800000000.0,3.961673188901293e-06
16000000000.0,3.937395412934344e-06
16200000000.0,3.913946408680193e-06
16400000000.0,3.891223190445023e-06
16600000000.0,3.867475536283495e-06
16800000000.0,3.846716058500858e-06
17000000000.0,3.8237817813622756e-06
17200000000.0,3.802668865116293e-06
17400000000.0,3.780892729267664e-06
17600000000.0,3.760099627599733e-06
17800000000.0,3.73900265843089e-06
18000000000.0,3.71910631362926e-06
18200000000.0,3.6992700600317545e-06
18400000000.0,3.6781798600526126e-06
18600000000.0,3.6576016666959276e-06
18800000000.0,3.6364747141367228e-06
19000000000.0,3.6163226338401007e-06
19200000000.0,3.5956969575369766e-06
19400000000.0,3.57566829240385e-06
19600000000.0,3.555735080668962e-06
19800000000.0,3.5368182782768622e-06
20000000000.0,3.516963369419722e-06
20200000000.0,3.497640841252575e-06
20400000000.0,3.4780648881697796e-06
20600000000.0,4.149940102531187e-06
20800000000.0,4.816127145756648e-06
21000000000.0,4.7897504813699236e-06
21200000000.0,4.761331458729119e-06
21400000000.0,4.733513342083571e-06
21600000000.0,4.703292775271968e-06
21800000000.0,4.675159873770683e-06
22000000000.0,4.646574876898956e-06
22200000000.0,4.618794402285116e-06
22400000000.0,4.590404742543871e-06
22600000000.0,4.563322620390229e-06
22800000000.0,4.536599339211902e-06
23000000000.0,4.510344152145507e-06
23200000000.0,4.483460514163252e-06
23400000000.0,5.09461982673198e-06
23600000000.0,5.063672517107301e-06
23800000000.0,5.0338811664257745e-06
24000000000.0,4.999925001124983e-06
24200000000.0,5.570620300949667e-06
24400000000.0,5.509925211948456e-06
24600000000.0,5.448561942884541e-06
24800000000.0,5.3854807439144064e-06
25000000000.0,5.315495318525151e-06
25200000000.0,5.250666834688005e-06
25400000000.0,5.2178541053206455e-06
25600000000.0,5.190000138400003e-06
25800000000.0,5.161346560908764e-06
26000000000.0,5.702818161650943e-06
26200000000.0,5.6712490358876635e-06
26400000000.0,5.6413288262876895e-06
26600000000.0,5.611212549364642e-06
26800000000.0,5.583750392956434e-06
27000000000.0,5.555694447916754e-06
27200000000.0,6.0787182967210285e-06
27400000000.0,6.046504213588914e-06
27600000000.0,6.015211924118648e-06
27800000000.0,5.98351270272549e-06
28000000000.0,5.951994459234249e-06
28200000000.0,6.460049171740945e-06
28400000000.0,6.426205208010907e-06
28600000000.0,6.3929864676458946e-06
28800000000.0,6.891469950540451e-06
29000000000.0,6.858913210477887e-06
29200000000.0,6.826544334992184e-06
29400000000.0,6.794930563649944e-06
29600000000.0,7.283889597044822e-06
29800000000.0,7.768144702928021e-06
30000000000.0,7.733848373262332e-06
30200000000.0,8.726585800304917e-06
30400000000.0,8.68879891154905e-06
30600000000.0,8.651425907661805e-06
30800000000.0,8.613539369195044e-06
31000000000.0,8.576952417086096e-06
31200000000.0,8.540571987225314e-06
31400000000.0,8.504315940339722e-06
31600000000.0,8.467602951109057e-06
31800000000.0,8.42998476156284e-06
32000000000.0,8.392865077288414e-06
32200000000.0,8.355438382819646e-06
32400000000.0,8.317884086860239e-06
32600000000.0,8.280452093200872e-06
32800000000.0,8.244039074805441e-06
33000000000.0,8.207449564015451e-06
33200000000.0,8.17197684927029e-06
33400000000.0,8.13580087388073e-06
33600000000.0,8.10134882692469e-06
33800000000.0,8.06590891406296e-06
34000000000.0,8.031946357937547e-06
34200000000.0,7.998242268640256e-06
34400000000.0,7.965211703613535e-06
34600000000.0,7.932800777974439e-06
34800000000.0,7.899657619545053e-06
35000000000.0,7.867208917897807e-06
35200000000.0,7.833866727494338e-06
35400000000.0,7.800906189973174e-06
35600000000.0,7.767157078872738e-06
35800000000.0,8.643738316736597e-06
36000000000.0,9.059324989695017e-06
36200000000.0,9.021761390650388e-06
36400000000.0,8.984580662666732e-06
36600000000.0,8.948121476117912e-06
36800000000.0,8.91167505181025e-06
37000000000.0,8.875823676437173e-06
37200000000.0,8.840408090918293e-06
37400000000.0,8.805502734769013e-06
37600000000.0,8.770752697225724e-06
37800000000.0,8.736081238566654e-06
38000000000.0,8.70200463729827e-06
38200000000.0,8.668005006639692e-06
38400000000.0,8.635086428580063e-06
38600000000.0,8.600644962365728e-06
38800000000.0,8.566884451147556e-06
39000000000.0,8.531764398738834e-06
39200000000.0,8.495285329024524e-06
39400000000.0,8.8810848118225e-06
39600000000.0,8.841323504027012e-06
39800000000.0,8.802997714154927e-06
40000000000.0,8.765251537675556e-06
40200000000.0,8.728012681386806e-06
40400000000.0,8.69177236827619e-06
40600000000.0,8.655646242913704e-06
40800000000.0,9.03109117338094e-06
41000000000.0,8.99384984195353e-06
41200000000.0,8.95733012932349e-06
41400000000.0,8.919264841758052e-06
41600000000.0,8.880786740823928e-06
41800000000.0,9.244168637751175e-06
42000000000.0,9.204200797243862e-06
42200000000.0,9.163543757515103e-06
42400000000.0,9.122390351842663e-06
42600000000.0,9.07990912195305e-06
42800000000.0,9.42832528193639e-06
43000000000.0,9.382051197853387e-06
43200000000.0,9.725946178948072e-06
43400000000.0,9.68106318210351e-06
43600000000.0,9.636291662025187e-06
43800000000.0,9.590964544122273e-06
44000000000.0,9.928480572063776e-06
44200000000.0,1.0262027571407559e-05
44400000000.0,1.0213820661197354e-05
44600000000.0,1.0542057538550046e-05
44800000000.0,1.0492373356116772e-05
45000000000.0,1.0444253795367228e-05
45200000000.0,1.0397469255983094e-05
45400000000.0,1.0721041819087225e-05
45600000000.0,1.0673171658091939e-05
45800000000.0,1.0624897872748895e-05
46000000000.0,1.0577625913870405e-05
46200000000.0,1.0530210629630342e-05
46400000000.0,1.048346107490903e-05
46600000000.0,1.0436486243811433e-05
46800000000.0,1.0389569445494348e-05
47000000000.0,1.0343482072605537e-05
47200000000.0,1.0652508772340974e-05
47400000000.0,1.06031233266946e-05
47600000000.0,1.0903380223730327e-05
47800000000.0,1.0846670072287808e-05
48000000000.0,1.1135524201321926e-05
48200000000.0,1.1075059485182782e-05
48400000000.0,1.1015649795969511e-05
48600000000.0,1.0956686506258494e-05
48800000000.0,1.0900474579412e-05
49000000000.0,1.0847612067697235e-05
49200000000.0,1.1133302744865186e-05
49400000000.0,1.1081980799964538e-05
49600000000.0,1.1031723559716559e-05
49800000000.0,1.0983670942532103e-05
50000000000.0,1.093830794320035e-05
50200000000.0,1.0894684714427204e-05
50400000000.0,1.0851197528294497e-05
50600000000.0,1.0807634906302718e-05
50800000000.0,1.1088799431992556e-05
51000000000.0,1.1039222682875276e-05
51200000000.0,1.0987501716797143e-05
51400000000.0,1.0933773171157606e-05
51600000000.0,1.0877859237302098e-05
51800000000.0,1.113918539455472e-05
52000000000.0,1.1079241584762054e-05
52200000000.0,1.1020099086433785e-05
52400000000.0,1.0960376360535004e-05
52600000000.0,1.0901002082402855e-05
52800000000.0,1.08416630863365e-05
53000000000.0,1.0783647676663108e-05
53200000000.0,1.0726269584252855e-05
53400000000.0,1.0669528132497249e-05
53600000000.0,1.0613531889266292e-05
53800000000.0,1.0558559884833262e-05
54000000000.0,1.0504393988005183e-05
54200000000.0,1.0450993202674021e-05
54400000000.0,1.0694913914855414e-05
54600000000.0,1.0935741876295479e-05
54800000000.0,1.0878724566571032e-05
55000000000.0,1.081994730393232e-05
55200000000.0,1.1050167177397638e-05
55400000000.0,1.1275890094188377e-05
55600000000.0,1.1208993406525186e-05
55800000000.0,1.142815348467256e-05
56000000000.0,1.164552057891303e-05
56200000000.0,1.1861635713916552e-05
56400000000.0,1.1795532863197096e-05
56600000000.0,1.2010425048942481e-05
56800000000.0,1.1946598150611041e-05
57000000000.0,1.1885035772575695e-05
57200000000.0,1.2100677637947726e-05
57400000000.0,1.2040919422714537e-05
57600000000.0,1.1981957350767445e-05
57800000000.0,1.1923388974008638e-05
58000000000.0,1.1864737676043044e-05
58200000000.0,1.20733253291658e-05
58400000000.0,1.2276815500814007e-05
58600000000.0,1.2209380254512495e-05
58800000000.0,1.2140393623231858e-05
59000000000.0,1.25950565977236e-05
59200000000.0,1.3042036832277059e-05
59400000000.0,1.322269138290166e-05
59600000000.0,1.314196908441963e-05
59800000000.0,1.357445666316292e-05
60000000000.0,1.3748882266793497e-05
60200000000.0,1.3924092933953218e-05
60400000000.0,1.3847015653421786e-05
60600000000.0,1.3772683609905514e-05
60800000000.0,1.3948870415492015e-05
61000000000.0,1.4123005930671403e-05
61200000000.0,1.4048917838970812e-05
61400000000.0,1.4220956393643918e-05
61600000000.0,1.4147756239038539e-05
61800000000.0,1.4076378429357695e-05
62000000000.0,1.400528095680216e-05
62200000000.0,1.4171984964244562e-05
62400000000.0,1.4095180212851555e-05
62600000000.0,1.4256142972006638e-05
62800000000.0,1.4178863048961269e-05
63000000000.0,1.4572729909493946e-05
63200000000.0,1.4494701835800745e-05
63400000000.0,1.4649404862114221e-05
63600000000.0,1.4571467032171486e-05
63800000000.0,1.4494137351506988e-05
64000000000.0,1.4645456384457875e-05
64200000000.0,1.479459637609776e-05
64400000000.0,1.4941453273661093e-05
64600000000.0,1.4861002343084703e-05
64800000000.0,1.5006395636229739e-05
65000000000.0,1.4930352135697737e-05
65200000000.0,1.5080748537389168e-05
65400000000.0,1.501408011601468e-05
65600000000.0,1.5171270450982504e-05
65800000000.0,1.510977911473775e-05
66000000000.0,1.5267958117809745e-05
66200000000.0,1.5207803775880423e-05
66400000000.0,1.514860019359911e-05
66600000000.0,1.530512161104728e-05
66800000000.0,1.5245247723465807e-05
67000000000.0,1.5613443645520932e-05
67200000000.0,1.5764900174095627e-05
67400000000.0,1.5702591224628113e-05
67600000000.0,1.564069683954357e-05
67800000000.0,1.5788941846169393e-05
68000000000.0,1.57254330993948e-05
68200000000.0,1.5661828136286307e-05
68400000000.0,1.6014162342842832e-05
68600000000.0,1.6155654344390084e-05
68800000000.0,1.6089045855637116e-05
69000000000.0,1.6433077319682924e-05
69200000000.0,1.636438577812143e-05
69400000000.0,1.690602956599778e-05
69600000000.0,1.7036714931950495e-05
69800000000.0,1.6964682963398897e-05
70000000000.0,1.689400160372344e-05
70200000000.0,1.6823576560191454e-05
70400000000.0,1.7152398663229806e-05
70600000000.0,1.7081145970110776e-05
70800000000.0,1.7209334342947616e-05
71000000000.0,1.7140253175330406e-05
71200000000.0,1.7072417860574862e-05
71400000000.0,1.7005632578257185e-05
71600000000.0,1.7136148452011873e-05
71800000000.0,1.726816135214748e-05
72000000000.0,1.7400530832193922e-05
72200000000.0,1.7532573498571096e-05
72400000000.0,1.766357381329103e-05
72600000000.0,1.7985184799687134e-05
72800000000.0,1.8305163085655578e-05
73000000000.0,1.8434360279236847e-05
73200000000.0,1.8563415183471894e-05
73400000000.0,1.907046044210614e-05
73600000000.0,1.9011932905571117e-05
73800000000.0,1.8956783788308656e-05
74000000000.0,1.9091963743237796e-05
74200000000.0,1.904157410345922e-05
74400000000.0,1.8992192346965755e-05
74600000000.0,1.9128054151335594e-05
74800000000.0,1.9261913122845075e-05
75000000000.0,1.9393812228740597e-05
75200000000.0,1.9339374339928737e-05
75400000000.0,1.965149271453048e-05
75600000000.0,1.9594995255081056e-05
75800000000.0,1.9903568125439955e-05
76000000000.0,1.984587944920948e-05
76200000000.0,1.9969388742456792e-05
76400000000.0,1.9911001443728613e-05
76600000000.0,2.0033475757509034e-05
76800000000.0,1.997499346763727e-05
77000000000.0,1.9916869498749812e-05
77200000000.0,1.9858727517147384e-05
77400000000.0,2.0157992278240234e-05
77600000000.0,2.027787447319772e-05
77800000000.0,2.0220255339255978e-05
78000000000.0,2.0340600705695034e-05
78200000000.0,2.028483435227878e-05
78400000000.0,2.023032666700091e-05
78600000000.0,2.0527806756490736e-05
78800000000.0,2.0474787574078918e-05
79000000000.0,2.077152785584071e-05
79200000000.0,2.089278345848691e-05
79400000000.0,2.0839657590532684e-05
79600000000.0,2.0786649981915615e-05
79800000000.0,2.0734283931137297e-05
80000000000.0,2.0683450137372582e-05
80200000000.0,2.0634238012840342e-05
80400000000.0,2.0586905218574604e-05
80600000000.0,2.0713056380939468e-05
80800000000.0,2.0840824784182155e-05
81000000000.0,2.097031524009988e-05
81200000000.0,2.09320230000388e-05
81400000000.0,2.1065442515295378e-05
81600000000.0,2.1370388003139072e-05
81800000000.0,2.1339345383401987e-05
