feature_accum_x,failure_rate
901.0,0.0
1001.0,0.0
1101.0,0.0
1201.0,0.0
1301.0,0.0
1401.0,0.0
1501.0,0.0
1601.0,0.0
1701.0,8.578536501672814e-05
1801.0,7.668711656441718e-05
1901.0,6.996431819771916e-05
2001.0,6.432109088570143e-05
2101.0,5.9445963619070264e-05
2201.0,5.5269993920300666e-05
2301.0,5.158893933140735e-05
2401.0,4.818348270212971e-05
2501.0,4.5353530772370626e-05
2601.0,4.290188339268094e-05
2701.0,4.073153843020651e-05
2801.0,3.869969040247678e-05
2901.0,3.6817495673944256e-05
3001.0,3.503240497460151e-05
3101.0,3.3561551886159215e-05
3201.0,3.220093382708099e-05
3301.0,3.0926240915416734e-05
3401.0,2.9733587059942913e-05
3501.0,2.8625407912062748e-05
3601.0,2.7563395810363838e-05
3701.0,2.6636833413243833e-05
3801.0,2.5777846518701826e-05
3901.0,2.495757212738345e-05
4001.0,2.418730650154799e-05
4101.0,2.3431276067294624e-05
4201.0,2.2839393385711677e-05
4301.0,2.2230126267117197e-05
4401.0,2.1626765284716365e-05
4501.0,2.1050415745710977e-05
4601.0,2.0490123760347513e-05
4701.0,1.9928655413619244e-05
4801.0,1.9879134860050892e-05
