feature_accum_x,failure_rate
2096.0,0.002280501710376283
200002096.0,3.6067879749688916e-05
400002096.0,3.433358511295749e-05
600002096.0,3.3257948649727285e-05
800002096.0,4.8123967339867496e-05
1000002096.0,4.6662104149816465e-05
1200002096.0,4.540707442219498e-05
1400002096.0,4.4230173824583133e-05
1600002096.0,4.317975732976381e-05
1800002096.0,4.2218438199242884e-05
2000002096.0,4.112011184670422e-05
2200002096.0,5.373527317669501e-05
2400002096.0,5.2712728806188474e-05
2600002096.0,5.169428002791491e-05
2800002096.0,5.0641244761796245e-05
3000002096.0,4.978715989146399e-05
3200002096.0,4.893864317611794e-05
3400002096.0,4.803246994968599e-05
3600002096.0,4.72411186696901e-05
3800002096.0,4.648460197559558e-05
4000002096.0,4.558248720841453e-05
4200002096.0,4.497363420694618e-05
4400002096.0,4.417400139148104e-05
4600002096.0,4.353362428305563e-05
4800002096.0,4.292352101642898e-05
5000002096.0,4.235089836843164e-05
5200002096.0,4.176368021550059e-05
5400002096.0,4.1254125412541255e-05
5600002096.0,4.075145686458291e-05
5800002096.0,4.02844079199146e-05
6000002096.0,3.9817635230643655e-05
6200002096.0,3.9363879703983625e-05
6400002096.0,3.895597974289053e-05
6600002096.0,3.851227097233856e-05
6800002096.0,3.807130755905812e-05
7000002096.0,3.763041289970554e-05
7200002096.0,3.7147447506013246e-05
7400002096.0,3.67258871597117e-05
7600002096.0,3.629895821989909e-05
7800002096.0,3.587154400093266e-05
8000002096.0,3.546853940554728e-05
8200002096.0,3.50609622481089e-05
8400002096.0,3.4681579745957427e-05
8600002096.0,3.429796355841372e-05
8800002096.0,3.394778830159215e-05
9000002096.0,3.361909564632711e-05
9200002096.0,3.328783995206551e-05
9400002096.0,3.2956530336486173e-05
9600002096.0,3.2675200339822085e-05
9800002096.0,3.235539162157134e-05
10000002096.0,3.2041269154671214e-05
10200002096.0,3.173041836556615e-05
10400002096.0,3.142257869392051e-05
10600002096.0,3.110661793296524e-05
10800002096.0,3.081260543688423e-05
11000002096.0,3.81312630599576e-05
11200002096.0,3.777405073810495e-05
11400002096.0,3.740695021134927e-05
11600002096.0,3.706147015439808e-05
11800002096.0,3.6709371902646744e-05
12000002096.0,3.637421795431398e-05
12200002096.0,3.603525689534641e-05
12400002096.0,3.57165817802573e-05
12600002096.0,3.539923254463843e-05
12800002096.0,3.506827793714362e-05
13000002096.0,3.476978922553771e-05
13200002096.0,3.446113129001799e-05
13400002096.0,3.415160580850512e-05
13600002096.0,3.385538334450561e-05
13800002096.0,3.3572143178476226e-05
14000002096.0,3.330269485406759e-05
14200002096.0,3.3022917905026086e-05
14400002096.0,3.275187832022167e-05
14600002096.0,3.248187511368656e-05
14800002096.0,3.2216910011726955e-05
15000002096.0,3.194561578368985e-05
15200002096.0,3.802907956951082e-05
15400002096.0,3.7705968854869723e-05
15600002096.0,3.738970038386759e-05
15800002096.0,3.708190155991199e-05
16000002096.0,3.677710012565509e-05
16200002096.0,3.6489691662105454e-05
16400002096.0,3.618774200552466e-05
16600002096.0,3.590320495942938e-05
16800002096.0,4.155387757040414e-05
17000002096.0,4.122472776956555e-05
17200002096.0,4.089979550102249e-05
17400002096.0,4.0567246005575096e-05
17600002096.0,4.024283677505404e-05
17800002096.0,3.9920159680638724e-05
18000002096.0,3.960239198447586e-05
18200002096.0,3.9293613103858635e-05
18400002096.0,3.898896055431162e-05
18600002096.0,3.867616995414111e-05
18800002096.0,3.8366255234253395e-05
19000002096.0,3.8063958325403345e-05
19200002096.0,3.7769240730349206e-05
19400002096.0,3.748868644998206e-05
19600002096.0,3.72079178449174e-05
19800002096.0,3.69252843246893e-05
20000002096.0,3.664672038028825e-05
20200002096.0,3.637194995219687e-05
20400002096.0,3.610108303249098e-05
20600002096.0,3.58261510430528e-05
20800002096.0,3.557163619363166e-05
21000002096.0,3.5301296566192454e-05
21200002096.0,3.504784030201225e-05
21400002096.0,3.4795921917951215e-05
21600002096.0,3.455203289353531e-05
21800002096.0,3.431439832153572e-05
22000002096.0,3.408283101732382e-05
22200002096.0,3.386403107750509e-05
22400002096.0,3.3643979409884604e-05
22600002096.0,3.343858526122701e-05
22800002096.0,3.323331687492879e-05
23000002096.0,3.3037568434963185e-05
23200002096.0,3.28505861483157e-05
23400002096.0,3.26594598125347e-05
23600002096.0,3.247928285743451e-05
23800002096.0,3.230048681447985e-05
24000002096.0,3.2125270196468974e-05
24200002096.0,3.195019421153767e-05
24400002096.0,3.177485247389923e-05
24600002096.0,3.160185277148249e-05
24800002096.0,3.1429597701149425e-05
25000002096.0,3.125530223877265e-05
25200002096.0,3.552145495879511e-05
25400002096.0,3.532414316875226e-05
25600002096.0,3.512052926637604e-05
25800002096.0,3.929135852054938e-05
26000002096.0,3.907318407377017e-05
26200002096.0,3.8865641477412585e-05
26400002096.0,3.865763509769644e-05
26600002096.0,3.8460716651353605e-05
26800002096.0,3.8262377879243935e-05
27000002096.0,3.8067040287617636e-05
27200002096.0,3.78730495379488e-05
27400002096.0,3.768654841465253e-05
27600002096.0,3.749609415685866e-05
27800002096.0,3.7303998574158276e-05
28000002096.0,3.711845323281106e-05
28200002096.0,3.6933683519369665e-05
28400002096.0,3.6748043166701375e-05
28600002096.0,3.656262568402579e-05
28800002096.0,3.6383776069986216e-05
29000002096.0,3.6194873197294235e-05
29200002096.0,3.601354109145039e-05
29400002096.0,3.58247453457685e-05
29600002096.0,3.5644411352348966e-05
29800002096.0,3.546252989688284e-05
30000002096.0,3.528304845538655e-05
30200002096.0,3.510291003124159e-05
30400002096.0,3.492595697122101e-05
30600002096.0,3.4748632255224846e-05
30800002096.0,3.457588831219722e-05
31000002096.0,3.440196014724039e-05
31200002096.0,3.423250718882651e-05
31400002096.0,3.784023097676988e-05
31600002096.0,3.765060240963856e-05
31800002096.0,3.746160185809545e-05
32000002096.0,3.728032568092515e-05
32200002096.0,3.7106439822631217e-05
32400002096.0,3.692884918627281e-05
32600002096.0,3.675794890645102e-05
32800002096.0,3.658902475613415e-05
33000002096.0,3.6417401691224134e-05
33200002096.0,3.625592331147101e-05
33400002096.0,3.6093786093786095e-05
33600002096.0,3.593761230503845e-05
33800002096.0,3.57803515777346e-05
