Model,Type,Company,Price,Capacity,RPM,Buffer,Read,Write,Method,Warranty,Thickness
CT250MX500SSD1,SSD,Crucial,37920,0.25,,,560,510,,5,7
DELLBOSS VD,SSD,DELL,,,,,,,,,
HGST HDS5C4040ALE630,HDD,HGST,455120,4,5700,32,,,,,26.1
HGST HDS724040ALE640,HDD,HGST,146134,4,7200,64,,,,2,26.1
HGST HMS5C4040ALE640,HDD,HGST,,4,5700,64,,,,3,26.1
HGST HMS5C4040BLE640,HDD,HGST,482934,4,5700,64,110,140,,3,26.1
HGST HMS5C4040BLE641,HDD,HGST,172207,4,5700,64,110,140,,3,26.1
HGST HUH721010ALE600,HDD,HGST,600000,10,7200,256,237,215,,5,26
HGST HUH721212ALE600,HDD,HGST,726000,12,7200,256,255,255,,1,26.1
HGST HUH721212ALE604,HDD,HGST,198566,12,7200,256,255,255,,5,26.1
HGST HUH721212ALN604,HDD,HGST,950733,12,7200,256,255,255,,5,26.1
HGST HUH728080ALE600,HDD,HGST,750000,8,7200,128,205,205,,5,26.1
HGST HUH728080ALE604,HDD,HGST,87099,8,7200,128,205,205,,5,6.9
HGST HUS726040ALE610,HDD,HGST,71648,4,7200,128,227,202,,5,26.1
HGST HUS728T8TALE6L4,HDD,HGST,308980,8,7200,256,255,255,,5,26.1
Hitachi HDS5C4040ALE630,HDD,Hitachi,386816,4,5400,32,,,,3,
MTFDDAV240TCB,SSD,Micron Technology,145886,0.24,,,540,250,,1,
ST10000NM001G,HDD,Seagate,459000,10,7200,256,245,245,,5,26.1
ST10000NM0086,HDD,Seagate,392000,10,7200,256,249,249,,5,26.11
ST1000LM024 HN,HDD,Seagate,40000,1,5400,8,,,,,
ST12000NM0007,HDD,Seagate,459000,12,7200,256,261,261,,5,26.1
ST12000NM0008,HDD,Seagate,459000,12,7200,256,261,261,,,26.1
ST12000NM001G,HDD,Seagate,529000,12,7200,256,245,245,,5,26.1
ST12000NM0117,HDD,Seagate,334876,12,7200,256,,,,5,25.4
ST14000NM0018,HDD,Seagate,261140,14,7200,256,261,249,,5,26.1
ST14000NM001G,HDD,Seagate,625000,14,7200,256,261,261,,5,26.1
ST14000NM0138,HDD,Seagate,295757,14,7200,256,261,249,,,25.4
ST16000NM001G,HDD,Seagate,699000,16,7200,256,261,261,,5,26.1
ST16000NM002J,HDD,Seagate,,,,,,,,,
ST16000NM005G,HDD,Seagate,421677,16,7200,256,261,249,,,26.11
ST18000NM000J,HDD,Seagate,758990,18,7200,256,270,270,CMR,5,26.1
ST4000DM000,HDD,Seagate,225000,4,5900,64,180,180,,2,26.1
ST4000DM004,HDD,Seagate,120490,4,5400,256,190,190,SMR,2,20.2
ST4000DM005,HDD,Seagate,248000,4,5900,64,180,180,,2,26.1
ST500LM012 HN,HDD,Samsung,107065,0.5,5400,,,,,,
ST500LM021,HDD,Seagate,100406,0.5,7200,32,135,135,,1,6.8
ST500LM030,HDD,Seagate,70990,0.5,5400,128,140,140,SMR,2,7
ST6000DM001,HDD,Seagate,400000,6,7200,128,220,220,,2,26.1
ST6000DM004,HDD,Seagate,378000,6,7200,256,220,220,,5,26
ST6000DX000,HDD,Seagate,193087,6,7200,,,,,3,2.54
ST8000DM002,HDD,Seagate,368229,8,7200,256,220,220,,2,26.11
ST8000DM005,HDD,Seagate,739000,8,7200,256,,,,5,26
ST8000NM000A,HDD,Seagate,379000,8,7200,256,249,249,CMR,5,26.1
ST8000NM0055,HDD,Seagate,360000,8,7200,256,249,249,,5,26.1
Seagate BarraCuda 120 SSD ZA250CM10003,SSD,Seagate,129000,0.25,,,560,540,,5,7.1
Seagate BarraCuda 120 SSD ZA500CM10003,SSD,Seagate,801834,0.5,,,560,540,,5,7.1
Seagate BarraCuda SSD ZA2000CM10002,SSD,Seagate,616160,2,,,560,530,,5,7.1
Seagate BarraCuda SSD ZA250CM10002,SSD,Seagate,91084,0.25,,,560,530,,5,7.1
Seagate BarraCuda SSD ZA500CM10002,SSD,Seagate,207619,0.5,,,560,535,,5,7
